time,Max,Mean,Min,Med
0.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
2.0,1.0,1.0,1.0,1.0
3.0,1.0,1.0,1.0,1.0
4.0,1.0,1.0,1.0,1.0
5.0,2.0,1.0483870967741935,1.0,1.0
6.0,3.0,1.0602409638554218,1.0,1.0
7.0,3.0,1.0566037735849056,1.0,1.0
8.0,3.0,1.0852713178294573,1.0,1.0
9.0,3.0,1.108974358974359,1.0,1.0
10.0,4.0,1.1964285714285714,1.0,1.0
11.0,4.0,1.2185792349726776,1.0,1.0
12.0,4.0,1.2525252525252526,1.0,1.0
13.0,4.0,1.2372093023255815,1.0,1.0
14.0,4.0,1.2424242424242424,1.0,1.0
15.0,4.0,1.236220472440945,1.0,1.0
16.0,4.0,1.2307692307692308,1.0,1.0
17.0,4.0,1.2336769759450172,1.0,1.0
18.0,4.0,1.2337662337662338,1.0,1.0
