"#","Satisfaction","color","comm_agraire","location","mesSeigneurs","monAgglo","name","type"
"29","0.6266666666666667","°gray","true","{50771.17736563364,51495.19979442911,0.0}","[3 as Seigneurs,4 as Seigneurs,9 as Seigneurs,19 as Seigneurs,10 as Seigneurs,1 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans29'","nil"
"111","0.43","°gray","false","{50683.9749608706,51511.73964275217,0.0}","[3 as Seigneurs,5 as Seigneurs,9 as Seigneurs,5 as Seigneurs,8 as Seigneurs,10 as Seigneurs,0 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans111'","nil"
"113","0.4266666666666667","°gray","false","{50249.763233546764,51339.77965490492,0.0}","[16 as Seigneurs,14 as Seigneurs,11 as Seigneurs,5 as Seigneurs,2 as Seigneurs,3 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans113'","nil"
"148","0.4366666666666667","°gray","true","{50273.10874610074,51827.68307275076,0.0}","[11 as Seigneurs,2 as Seigneurs,10 as Seigneurs,8 as Seigneurs,5 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans148'","nil"
"160","0.2933333333333333","°gray","true","{50248.46081990627,51263.39762760367,0.0}","[9 as Seigneurs,17 as Seigneurs,2 as Seigneurs,9 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans160'","nil"
"161","0.42333333333333334","°gray","true","{49969.8655802056,51429.100873634095,0.0}","[4 as Seigneurs,9 as Seigneurs,18 as Seigneurs,12 as Seigneurs,6 as Seigneurs,11 as Seigneurs,17 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans161'","nil"
"162","0.56","°gray","true","{50570.495889333644,50935.59796328851,0.0}","[4 as Seigneurs,9 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans162'","nil"
"164","0.30000000000000004","°gray","true","{50397.452298246375,51166.61667703104,0.0}","[3 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans164'","nil"
"166","0.36999999999999994","°gray","true","{50576.62150716307,50966.15383448826,0.0}","[5 as Seigneurs,6 as Seigneurs,9 as Seigneurs,6 as Seigneurs,12 as Seigneurs,4 as Seigneurs,11 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans166'","nil"
"167","0.6266666666666666","°gray","true","{49843.13328883975,50859.71268995513,0.0}","[1 as Seigneurs,10 as Seigneurs,18 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans167'","nil"
"168","0.4566666666666667","°gray","true","{50108.157923663166,51939.50191480363,0.0}","[0 as Seigneurs,11 as Seigneurs,14 as Seigneurs,16 as Seigneurs,7 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans168'","nil"
"311","0.4166666666666667","°gray","true","{49665.663920973195,51037.00490818591,0.0}","[0 as Seigneurs,14 as Seigneurs,14 as Seigneurs,15 as Seigneurs,10 as Seigneurs,18 as Seigneurs,19 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans311'","nil"
"363","0.19999999999999998","°gray","true","{49654.295595619966,50693.878531113834,0.0}","[14 as Seigneurs,12 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans363'","nil"
"422","0.48666666666666664","°gray","true","{50000.81793915296,51429.41420110064,0.0}","[7 as Seigneurs,16 as Seigneurs,13 as Seigneurs,19 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans422'","nil"
"426","0.43999999999999995","°gray","true","{50653.65226109969,51714.358465716556,0.0}","[19 as Seigneurs,10 as Seigneurs,3 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans426'","nil"
"461","0.5966666666666667","°gray","true","{50077.19886846347,51040.14556220037,0.0}","[4 as Seigneurs,17 as Seigneurs,8 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans461'","nil"
"495","0.43333333333333335","°gray","true","{50853.70763594334,51559.39260672083,0.0}","[12 as Seigneurs,2 as Seigneurs,16 as Seigneurs,16 as Seigneurs,6 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans495'","nil"
"502","0.23333333333333336","°gray","true","{50265.29501100926,51938.04067993719,0.0}","[15 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans502'","nil"
"534","0.20333333333333334","°gray","true","{50598.90134369634,51820.74325404894,0.0}","[19 as Seigneurs,7 as Seigneurs,12 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans534'","nil"
"535","0.35000000000000003","°gray","true","{50193.56453165704,51546.52061136345,0.0}","[9 as Seigneurs,0 as Seigneurs,0 as Seigneurs,3 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans535'","nil"
"549","0.21000000000000005","°gray","true","{50056.314615220115,50927.18090169554,0.0}","[11 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans549'","nil"
"560","0.38333333333333336","°gray","true","{49610.63195730608,51177.00663140058,0.0}","[14 as Seigneurs,9 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans560'","nil"
"573","0.62","°gray","true","{50409.23051462138,51104.58553618331,0.0}","[13 as Seigneurs,8 as Seigneurs,3 as Seigneurs,3 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans573'","nil"
"586","0.64","°gray","true","{50582.98537082403,51279.830172469716,0.0}","[9 as Seigneurs,17 as Seigneurs,0 as Seigneurs,7 as Seigneurs,11 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans586'","nil"
"607","0.44333333333333336","°gray","true","{49798.83973160847,50759.25382033291,0.0}","[8 as Seigneurs,4 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans607'","nil"
"608","0.37000000000000005","°gray","true","{50624.39833169824,51164.00511806968,0.0}","[0 as Seigneurs,15 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans608'","nil"
"664","0.5","°gray","true","{50359.65910628452,51354.59697047859,0.0}","[19 as Seigneurs,11 as Seigneurs,11 as Seigneurs,7 as Seigneurs,4 as Seigneurs,12 as Seigneurs,3 as Seigneurs,16 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans664'","nil"
"673","0.43333333333333335","°gray","true","{50833.106572106415,51589.48855149607,0.0}","[7 as Seigneurs,8 as Seigneurs,2 as Seigneurs,14 as Seigneurs,7 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans673'","nil"
"675","0.6033333333333334","°gray","true","{50628.510194387214,51618.0367908085,0.0}","[18 as Seigneurs,3 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans675'","nil"
"709","0.22999999999999998","°gray","true","{50129.59434461601,50685.35286439064,0.0}","[10 as Seigneurs,3 as Seigneurs,6 as Seigneurs,15 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans709'","nil"
"715","0.5533333333333333","°gray","true","{49943.310746377225,50809.141784612475,0.0}","[6 as Seigneurs,14 as Seigneurs,6 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans715'","nil"
"743","0.6666666666666666","°gray","true","{50286.4159966913,51527.512618080946,0.0}","[12 as Seigneurs,10 as Seigneurs,16 as Seigneurs,6 as Seigneurs,14 as Seigneurs,16 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans743'","nil"
"756","0.32666666666666666","°gray","true","{50710.948606320555,51485.90019898733,0.0}","[17 as Seigneurs,13 as Seigneurs,14 as Seigneurs,12 as Seigneurs,16 as Seigneurs,8 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans756'","nil"
"763","0.47333333333333333","°gray","true","{50216.47644246284,51149.86908482096,0.0}","[15 as Seigneurs,5 as Seigneurs,11 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans763'","nil"
"768","0.34","°gray","true","{50570.351145139124,51436.44091464241,0.0}","[2 as Seigneurs,14 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans768'","nil"
"787","0.4566666666666666","°gray","true","{50485.14567253027,51419.89176497341,0.0}","[0 as Seigneurs,3 as Seigneurs,0 as Seigneurs,10 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans787'","nil"
"797","0.4466666666666667","°gray","true","{50219.84178766147,51095.492621535755,0.0}","[16 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans797'","nil"
"799","0.5033333333333333","°gray","true","{49979.977945814724,51009.67450948273,0.0}","[18 as Seigneurs,15 as Seigneurs,3 as Seigneurs,10 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans799'","nil"
"823","0.21666666666666667","°gray","true","{49675.211346888835,50902.97926222886,0.0}","[12 as Seigneurs,10 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans823'","nil"
"841","0.3233333333333333","°gray","true","{49862.745044122144,50971.63285221842,0.0}","[1 as Seigneurs,1 as Seigneurs,11 as Seigneurs,15 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans841'","nil"
"845","0.58","°gray","true","{50589.79635371757,51139.04743673236,0.0}","[7 as Seigneurs,3 as Seigneurs,1 as Seigneurs,18 as Seigneurs,14 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans845'","nil"
"863","0.47","°gray","true","{50250.136337535834,51954.35499630417,0.0}","[4 as Seigneurs,12 as Seigneurs,1 as Seigneurs,8 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans863'","nil"
"882","0.43","°gray","true","{50287.25412845869,51222.61783316195,0.0}","[17 as Seigneurs,3 as Seigneurs,8 as Seigneurs,7 as Seigneurs,14 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans882'","nil"
"884","0.5033333333333333","°gray","true","{50193.33303615908,51673.61476647412,0.0}","[16 as Seigneurs,7 as Seigneurs,19 as Seigneurs,8 as Seigneurs,2 as Seigneurs,0 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans884'","nil"
"896","0.33","°gray","true","{50283.20849464557,51104.25214665558,0.0}","[19 as Seigneurs,2 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans896'","nil"
"933","0.59","°gray","true","{49752.80950487626,51108.50675929583,0.0}","[5 as Seigneurs,12 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans933'","nil"
"934","0.42666666666666675","°gray","true","{49950.96243431718,50954.92472368793,0.0}","[0 as Seigneurs,9 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans934'","nil"
"942","0.51","°gray","true","{49914.07343319411,50900.31491456039,0.0}","[7 as Seigneurs,9 as Seigneurs,15 as Seigneurs,8 as Seigneurs,13 as Seigneurs,18 as Seigneurs,3 as Seigneurs,4 as Seigneurs,16 as Seigneurs,10 as Seigneurs,0 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans942'","nil"
"955","0.6033333333333334","°gray","true","{50175.744530562646,51446.021813199266,0.0}","[19 as Seigneurs,13 as Seigneurs,3 as Seigneurs,11 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans955'","nil"
"998","0.06666666666666667","°gray","true","{50438.09271736891,51352.37367028163,0.0}","[0 as Seigneurs]","10 as Agglomerations","'Foyers_Paysans998'","nil"
